 ROW_ID, APPLICATION_ID, APPLICATION_SHORT_NAME, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, BASEPATH, APPLICATION_NAME, DESCRIPTION, PRODUCT_CODE
AAA/cZAGXAAAFzcAAA,272,ABM,06.04.06,120,01.12.99,1,0,ABM_TOP,Activity Based Management (Obsolete),,ABM
AAA/cZAGXAAAFzcAAB,50,AD,29.08.05,120,12.08.97,1,0,AD_TOP,Applications DBA,,AD
AAA/cZAGXAAAFzcAAC,601,AK,29.08.05,120,12.08.97,1,0,AK_TOP,Common Modules-AK,,AK
AAA/cZAGXAAAFzcAAD,160,ALR,29.08.05,120,12.08.97,1,0,ALR_TOP,Alert,,ALR
AAA/cZAGXAAAFzcAAE,530,AMS,29.08.05,120,27.01.99,1,0,AMS_TOP,Marketing,,AMS
AAA/cZAGXAAAFzcAAF,520,AMV,29.08.05,120,09.02.99,1,0,AMV_TOP,Marketing Encyclopedia System,,AMV
AAA/cZAGXAAAFzcAAG,501,AN,29.08.05,120,12.08.97,1,0,AN_TOP,Sales Analysis,,AN
AAA/cZAGXAAAFzcAAH,222,AR,29.08.05,120,12.08.97,1,0,AR_TOP,Receivables,,AR
AAA/cZAGXAAAFzcAAI,279,AS,29.08.05,120,12.08.97,1,0,AS_TOP,Sales Foundation,,AS
AAA/cZAGXAAAFzcAAJ,522,ASF,29.08.05,120,12.05.99,1,0,ASF_TOP,Sales Online,,ASF
AAA/cZAGXAAAFzcAAK,689,ASG,29.08.05,120,10.09.99,1,0,ASG_TOP,CRM Gateway for Mobile Devices,,ASG
AAA/cZAGXAAAFzcAAL,697,ASO,29.08.05,120,02.09.99,1,0,ASO_TOP,Order Capture,,ASO
AAA/cZAGXAAAFzcAAM,521,AST,29.08.05,120,12.05.99,1,0,AST_TOP,TeleSales,,AST
AAA/cZAGXAAAFzcAAN,3,AU,29.08.05,120,12.08.97,1,0,AU_TOP,Application Utilities,,AU
AAA/cZAGXAAAFzcAAO,600,AX,29.08.05,120,12.08.97,1,0,AX_TOP,Global Accounting Engine,,AX
AAA/cZAGXAAAFzcAAP,190,AZ,29.08.05,120,03.09.98,1,0,AZ_TOP,Application Implementation,,AZ
AAA/cZAGXAAAFzcAAQ,805,BEN,29.08.05,120,12.08.97,1,0,BEN_TOP,Advanced Benefits,,PER
AAA/cZAGXAAAFzcAAR,518,BIC,28.11.05,120,12.05.99,1,0,BIC_TOP,Customer Intelligence (obsolete),,BIC
AAA/cZAGXAAAFzcAAS,676,BIL,29.08.05,120,12.05.99,1,0,BIL_TOP,Sales Intelligence,,BIL
AAA/cZAGXAAAFzcAAT,517,BIM,29.08.05,120,12.05.99,1,0,BIM_TOP,Marketing Intelligence,,BIM
AAA/cZAGXAAAFzcAAU,191,BIS,29.08.05,120,22.06.98,1,0,BIS_TOP,Applications BIS,,BIS
AAA/cZAGXAAAFzcAAV,677,BIX,29.08.05,120,12.05.99,1,0,BIX_TOP,Interaction Center Intelligence,,BIX
AAA/cZAGXAAAFzcAAW,702,BOM,29.08.05,120,12.08.97,1,0,BOM_TOP,Bills of Material,,BOM
AAA/cZAGXAAAFzcAAX,271,BSC,29.08.05,120,01.12.99,1,0,BSC_TOP,Balanced Scorecard,,BSC
AAA/cZAGXAAAFzcAAY,172,CCT,29.08.05,120,04.09.98,1,0,CCT_TOP,Telephony Manager,,CCT
AAA/cZAGXAAAFzcAAZ,260,CE,29.08.05,120,12.08.97,1,0,CE_TOP,Cash Management,,CE
AAA/cZAGXAAAFzcAAa,202,CHV,29.08.05,120,12.08.97,1,0,CHV_TOP,Supplier Scheduling,,CHV
AAA/cZAGXAAAFzcAAb,283,CN,29.08.05,120,12.08.97,1,0,CN_TOP,Incentive Compensation,,CN
AAA/cZAGXAAAFzcAAc,705,CRP,29.08.05,120,12.08.97,1,0,CRP_TOP,Capacity,,CRP
AAA/cZAGXAAAFzcAAd,170,CS,29.08.05,120,12.08.97,1,0,CS_TOP,Service,,CS
AAA/cZAGXAAAFzcAAe,511,CSC,29.08.05,120,12.05.99,1,0,CSC_TOP,Customer Care,,CSC
AAA/cZAGXAAAFzcAAf,512,CSD,29.08.05,120,12.05.99,1,0,CSD_TOP,Depot Repair,,CSD
AAA/cZAGXAAAFzcAAg,513,CSF,29.08.05,120,12.05.99,1,0,CSF_TOP,Field Service,,CSF
AAA/cZAGXAAAFzcAAh,523,CSP,29.08.05,120,02.09.99,1,0,CSP_TOP,Spares Management,,CSP
AAA/cZAGXAAAFzcAAi,698,CSR,29.08.05,120,11.11.99,1,0,CSR_TOP,Scheduler,,CSR
AAA/cZAGXAAAFzcAAj,514,CSS,11.01.06,120,12.05.99,1,0,CSS_TOP,Support (obsolete),,CSS
AAA/cZAGXAAAFzcAAk,707,CST,29.08.05,120,12.08.97,1,0,BOM_TOP,Cost Management,,BOM
AAA/cZAGXAAAFzcAAl,8731,CUA,29.08.05,120,03.11.99,1,0,CUA_TOP,Capital Resource Logistics - Assets,,CUA
AAA/cZAGXAAAFzcAAm,8724,CUF,29.08.05,120,12.05.99,1,0,CUF_TOP,Capital Resource Logistics - Financials,,CUF
AAA/cZAGXAAAFzcAAn,8722,CUI,29.08.05,120,22.10.99,1,0,CUI_TOP,Network Logistics - Inventory,,CUI
AAA/cZAGXAAAFzcAAo,8729,CUN,12.10.05,120,07.09.99,1,0,CUN_TOP,Network Logistics - NATS (obsolete),,CUN
AAA/cZAGXAAAFzcAAp,8723,CUP,29.08.05,120,22.10.99,1,0,CUP_TOP,Network Logistics - Purchasing,,CUP
AAA/cZAGXAAAFzcAAq,8727,CUS,29.08.05,120,12.05.99,1,0,CUS_TOP,Network Logistics,,CUS
AAA/cZAGXAAAFzcAAr,708,CZ,29.08.05,120,12.08.97,1,0,CZ_TOP,Configurator,,CZ
AAA/cZAGXAAAFzcAAs,803,DT,29.08.05,120,12.08.97,1,0,DT_TOP,DateTrack,,PER
AAA/cZAGXAAAFzcAAt,270,EAA,28.11.05,120,01.12.99,1,0,EAA_TOP,SEM Exchange (obsolete),,EAA
AAA/cZAGXAAAFzcAAu,175,EC,29.08.05,120,28.07.99,1,0,EC_TOP,e-Commerce Gateway,,EC
AAA/cZAGXAAAFzcAAv,174,ECX,29.08.05,120,26.10.99,1,0,ECX_TOP,XML Gateway,,ECX
AAA/cZAGXAAAFzcAAw,703,ENG,29.08.05,120,12.08.97,1,0,ENG_TOP,Engineering,,ENG
AAA/cZAGXAAAFzcAAx,273,EVM,29.08.05,120,01.12.99,1,0,EVM_TOP,Value Based Management,,EVM
AAA/cZAGXAAAFzcAAy,274,FEM,30.11.05,120,01.12.99,1,0,FEM_TOP,Enterprise Performance Foundation,Enterprise Performance Foundation,FEM
AAA/cZAGXAAAFzcAAz,802,FF,29.08.05,120,12.08.97,1,0,FF_TOP,FastFormula,,PER
AAA/cZAGXAAAFzcAA1,714,FLM,29.08.05,120,28.08.97,1,0,FLM_TOP,Flow Manufacturing,,FLM
AAA/cZAGXAAAFzcAA2,0,FND,29.08.05,120,12.08.97,1,0,FND_TOP,Application Object Library,,FND
AAA/cZAGXAAAFzcAA3,538,FPT,28.11.05,120,12.05.99,1,0,FPT_TOP,Banking Center (obsolete),,FPT
AAA/cZAGXAAAFzcAA4,265,FRM,29.08.05,120,26.10.99,1,0,FRM_TOP,Report Manager,,FRM
AAA/cZAGXAAAFzcAA6,8301,GHR,29.08.05,120,06.10.98,1,0,GHR_TOP,US Federal Human Resources,,PER
AAA/cZAGXAAAFzcAA7,550,GMA,29.08.05,120,18.03.99,1,0,GMA_TOP,Process Manufacturing Systems,,GMA
AAA/cZAGXAAAFzcAA8,552,GMD,29.08.05,120,18.03.99,1,0,GMD_TOP,Process Manufacturing Product Development,,GMD
AAA/cZAGXAAAFzcAA9,553,GME,29.08.05,120,18.03.99,1,0,GME_TOP,Process Manufacturing Process Execution,,GME
AAA/cZAGXAAAFzcAA+,555,GMF,29.08.05,120,18.03.99,1,0,GMF_TOP,Process Manufacturing Financials,,GMF
AAA/cZAGXAAAFzcAA/,551,GMI,29.08.05,120,18.03.99,1,0,GMI_TOP,Process Manufacturing Inventory,,GMI
AAA/cZAGXAAAFzcABA,556,GML,29.08.05,120,18.03.99,1,0,GML_TOP,Process Manufacturing Logistics,,GML
AAA/cZAGXAAAFzcABB,554,GMP,29.08.05,120,18.03.99,1,0,GMP_TOP,Process Manufacturing Process Planning,,GMP
AAA/cZAGXAAAFzcABC,8402,GMS,29.08.05,120,08.11.99,1,0,GMS_TOP,Grants Accounting,,GMS
AAA/cZAGXAAAFzcABD,557,GR,29.08.05,120,07.07.99,1,0,GR_TOP,Process Manufacturing Regulatory Management,,GR
AAA/cZAGXAAAFzcABE,453,HRI,21.10.05,120,27.05.99,1,0,HRI_TOP,Human Resources Intelligence,,HRI
AAA/cZAGXAAAFzcABF,809,HXC,29.08.05,120,08.06.99,1,0,HXC_TOP,Time and Labor Engine,,HXC
AAA/cZAGXAAAFzcABG,808,HXT,29.08.05,120,12.08.97,1,0,HXT_TOP,Time and Labor,,HXT
AAA/cZAGXAAAFzcABH,670,IBA,02.02.06,120,12.05.99,1,0,IBA_TOP,iMarketing (Obsolete),,IBA
AAA/cZAGXAAAFzcABI,671,IBE,29.08.05,120,12.05.99,1,0,IBE_TOP,iStore,,IBE
AAA/cZAGXAAAFzcABJ,674,IBP,29.08.05,120,12.05.99,1,0,IBP_TOP,Bill Presentment & Payment,,IBP
AAA/cZAGXAAAFzcABK,672,IBU,29.08.05,120,12.05.99,1,0,IBU_TOP,iSupport,,IBU
AAA/cZAGXAAAFzcABL,673,IBY,16.02.06,120,12.05.99,1,0,IBY_TOP,Payments,,IBY
AAA/cZAGXAAAFzcABM,178,ICX,09.12.05,120,12.08.97,1,0,ICX_TOP,Oracle iProcurement,,ICX
AAA/cZAGXAAAFzcABN,699,IEB,29.08.05,120,09.11.99,1,0,IEB_TOP,Interaction Blending,,IEB
AAA/cZAGXAAAFzcABO,680,IEM,29.08.05,120,02.09.99,1,0,IEM_TOP,Email Center,,IEM
AAA/cZAGXAAAFzcABP,539,IEO,29.08.05,120,12.05.99,1,0,IEO_TOP,Interaction Center Technology,,IEO
AAA/cZAGXAAAFzcABR,696,IEU,29.08.05,120,02.09.99,1,0,IEU_TOP,Universal Work Queue,,IEU
AAA/cZAGXAAAFzcABS,695,IEX,29.08.05,120,02.09.99,1,0,IEX_TOP,Collections,,IEX
AAA/cZAGXAAAFzcABT,8407,IGC,29.08.05,120,06.12.99,1,0,IGC_TOP,Contract Commitment,,IGC
AAA/cZAGXAAAFzcABU,8406,IGF,29.08.05,120,11.11.99,1,0,IGF_TOP,Financial Aid,,IGF
AAA/cZAGXAAAFzcABV,8405,IGS,27.09.05,120,11.11.99,1,0,IGS_TOP,Student System,,IGS
AAA/cZAGXAAAFzcABW,8404,IGW,29.08.05,120,08.11.99,1,0,IGW_TOP,Grants Proposal,,IGW
AAA/cZAGXAAAFzcABX,401,INV,29.08.05,120,12.08.97,1,0,INV_TOP,Inventory,,INV
AAA/cZAGXAAAFzcABY,8721,IPA,29.08.05,120,22.10.99,1,0,IPA_TOP,Capital Resource Logistics - Projects,,IPA
AAA/cZAGXAAAFzcABZ,454,ISC,29.08.05,120,27.05.99,1,0,ISC_TOP,Supply Chain Intelligence,,ISC
AAA/cZAGXAAAFzcABb,7002,JE,29.08.05,120,12.08.97,1,0,JE_TOP,European Localizations,,JE
AAA/cZAGXAAAFzcABc,7003,JG,29.08.05,120,12.08.97,1,0,JG_TOP,Regional Localizations,,JG
AAA/cZAGXAAAFzcABd,7004,JL,29.08.05,120,12.08.97,1,0,JL_TOP,Latin America Localizations,,JL
AAA/cZAGXAAAFzcABe,690,JTF,29.08.05,120,12.05.99,1,0,JTF_TOP,CRM Foundation,,JTF
AAA/cZAGXAAAFzcABf,516,ME,17.11.05,120,12.05.99,1,0,ME_TOP,Controlled Availability Product(Obsolete),,ME
AAA/cZAGXAAAFzcABg,700,MFG,29.08.05,120,12.08.97,1,0,MFG_TOP,Manufacturing,,MFG
AAA/cZAGXAAAFzcABh,704,MRP,29.08.05,120,12.08.97,1,0,MRP_TOP,Master Scheduling/MRP,,MRP
AAA/cZAGXAAAFzcABi,724,MSC,29.08.05,120,10.08.99,1,0,MSC_TOP,Advanced Supply Chain Planning,,MSC
AAA/cZAGXAAAFzcABj,722,MSD,29.08.05,120,13.07.99,1,0,MSD_TOP,Demand Planning,,MSD
AAA/cZAGXAAAFzcABk,723,MSO,29.08.05,120,10.08.99,1,0,MSO_TOP,Constraint Based Optimization,,MSO
AAA/cZAGXAAAFzcABl,405,MWA,29.08.05,120,09.12.99,1,0,MWA_TOP,Mobile Applications,,MWA
AAA/cZAGXAAAFzcABm,525,ODQ,29.08.05,120,12.08.97,1,0,ODQ_TOP,Data Query,,ODQ
AAA/cZAGXAAAFzcABn,300,OE,29.08.05,120,12.08.97,1,0,OE_TOP,Order Entry,,OE
AAA/cZAGXAAAFzcABo,140,OFA,29.08.05,120,12.08.97,1,0,FA_TOP,Assets,,FA
AAA/cZAGXAAAFzcABp,510,OKC,29.08.05,120,01.02.99,1,0,OKC_TOP,Contracts Core,,OKC
AAA/cZAGXAAAFzcABq,777,OKE,29.08.05,120,22.09.99,1,0,OKE_TOP,Project Contracts,,OKE
AAA/cZAGXAAAFzcABr,515,OKS,29.08.05,120,17.03.99,1,0,OKS_TOP,Service Contracts,,OKS
AAA/cZAGXAAAFzcABs,524,OKX,29.08.05,120,02.09.99,1,0,OKX_TOP,Contracts Integration,,OKX
AAA/cZAGXAAAFzcABt,660,ONT,29.08.05,120,26.06.99,1,0,ONT_TOP,Order Management,,ONT
AAA/cZAGXAAAFzcABu,451,OPI,29.08.05,120,27.05.99,1,0,OPI_TOP,Operations Intelligence,,OPI
AAA/cZAGXAAAFzcABv,810,OTA,29.08.05,120,12.08.97,1,0,OTA_TOP,Learning Management,Learning Management,OTA
AAA/cZAGXAAAFzcABw,682,OZF,29.08.05,120,02.09.99,1,0,OZF_TOP,Trade Management,,OZF
AAA/cZAGXAAAFzcABx,681,OZP,02.02.06,120,02.09.99,1,0,OZP_TOP,Trade Planning (Obsolete),,OZP
AAA/cZAGXAAAFzcABy,683,OZS,02.02.06,120,02.09.99,1,0,OZS_TOP,iClaims (Obsolete),,OZS
AAA/cZAGXAAAFzcABz,275,PA,29.08.05,120,12.08.97,1,0,PA_TOP,Projects,,PA
AAA/cZAGXAAAFzcAB1,800,PER,29.08.05,120,12.08.97,1,0,PER_TOP,Human Resources,,PER
AAA/cZAGXAAAFzcAB2,712,PJM,29.08.05,120,12.08.97,1,0,PJM_TOP,Project Manufacturing,,PJM
AAA/cZAGXAAAFzcAB3,558,PMI,29.08.05,120,11.05.99,1,0,PMI_TOP,Process Manufacturing Intelligence,,PMI
AAA/cZAGXAAAFzcAB4,240,PN,29.08.05,120,11.05.98,1,0,PN_TOP,Property Manager,,PN
AAA/cZAGXAAAFzcAB5,201,PO,29.08.05,120,12.08.97,1,0,PO_TOP,Purchasing,,PO
AAA/cZAGXAAAFzcAB6,452,POA,29.08.05,120,27.05.99,1,0,POA_TOP,Purchasing Intelligence,,POA
AAA/cZAGXAAAFzcAB7,298,POM,29.08.05,120,05.11.99,1,0,POM_TOP,Exchange,,POM
AAA/cZAGXAAAFzcAB8,8302,PQH,29.08.05,120,24.02.99,1,0,PQH_TOP,Public Sector HR,,PQH
AAA/cZAGXAAAFzcAB9,8303,PQP,29.08.05,120,24.02.99,1,0,PQP_TOP,Public Sector Payroll,,PQP
AAA/cZAGXAAAFzcAB+,8450,PSA,29.08.05,120,06.12.99,1,0,PSA_TOP,Public Sector Financials,,PSA
AAA/cZAGXAAAFzcAB/,8401,PSB,29.08.05,120,08.11.99,1,0,PSB_TOP,Public Sector Budgeting,,PSB
AAA/cZAGXAAAFzcACA,8403,PSP,29.08.05,120,04.01.00,1,0,PSP_TOP,Labor Distribution,,PSP
AAA/cZAGXAAAFzcACB,250,QA,29.08.05,120,12.08.97,1,0,QA_TOP,Quality,,QA
AAA/cZAGXAAAFzcACC,661,QP,29.08.05,120,26.06.99,1,0,QP_TOP,Advanced Pricing,,QP
AAA/cZAGXAAAFzcACD,168,RG,29.08.05,120,12.08.97,1,0,RG_TOP,Application Report Generator,,GL
AAA/cZAGXAAAFzcACE,725,RHX,21.11.05,120,28.08.97,1,0,RHX_TOP,Advanced Planning Foundation(obsolete),,RHX
AAA/cZAGXAAAFzcACG,662,RLM,29.08.05,120,28.06.99,1,0,RLM_TOP,Release Management,,RLM
AAA/cZAGXAAAFzcACH,60,SHT,29.08.05,120,02.03.00,1,0,SHT_TOP,Applications Shared Technology,,SHT
AAA/cZAGXAAAFzcACI,200,SQLAP,29.08.05,120,12.08.97,1,0,AP_TOP,Payables,,AP
AAA/cZAGXAAAFzcACJ,101,SQLGL,29.08.05,120,12.08.97,1,0,GL_TOP,General Ledger,,GL
AAA/cZAGXAAAFzcACK,804,SSP,29.08.05,120,12.08.97,1,0,SSP_TOP,SSP,,SSP
AAA/cZAGXAAAFzcACL,1,SYSADMIN,29.08.05,120,12.08.97,1,0,FND_TOP,System Administration,,SYSADMIN
AAA/cZAGXAAAFzcACM,663,VEA,29.08.05,120,26.06.99,1,0,VEA_TOP,Automotive,,VEA
AAA/cZAGXAAAFzcACN,711,VEH,16.03.06,120,12.08.97,1,0,VEH_TOP,Automotive Integration Kit (Obsolete),,VEH
AAA/cZAGXAAAFzcACO,706,WIP,29.08.05,120,12.08.97,1,0,WIP_TOP,Work in Process,,WIP
AAA/cZAGXAAAFzcACQ,388,WPS,29.08.05,120,27.07.99,1,0,WPS_TOP,Manufacturing Scheduling,,WPS
AAA/cZAGXAAAFzcACR,665,WSH,29.08.05,120,21.06.99,1,0,WSH_TOP,Shipping Execution,,WSH
AAA/cZAGXAAAFzcACS,410,WSM,29.08.05,120,24.11.99,1,0,WSM_TOP,Shop Floor Management,,WSM
AAA/cZAGXAAAFzcACT,535,XDP,29.08.05,120,16.03.99,1,0,XDP_TOP,Provisioning,,XDP
AAA/cZAGXAAAFzcACU,602,XLA,29.08.05,120,19.10.98,1,0,XLA_TOP,Subledger Accounting,,XLA
AAA/cZAGXAAAFzcACV,532,XNC,02.02.06,120,17.03.99,1,0,XNC_TOP,Sales for Communications (Obsolete),,XNC
AAA/cZAGXAAAFzcACW,531,XNM,02.02.06,120,12.05.99,1,0,XNM_TOP,Marketing for Communications (Obsolete),,XNM
AAA/cZAGXAAAFzcACX,534,XNP,29.08.05,120,16.03.99,1,0,XNP_TOP,Number Portability,,XNP
AAA/cZAGXAAAFzcACY,533,XNS,11.01.06,120,17.03.99,1,0,XNS_TOP,Service for Communications (obsolete),,XNS
